uid,date,tags,category,tracking number,title,text,region,attack on,complex attack,reporting unit,unit name,type of unit,friendly WIA,friendly KIA,HN WIA,HN KIA,Civ WIA,Civ KIA,Enemy WIA,Enemy KIA,Enemy detained,MGRS,Latitude,Longitude,Originator group,Updated by group,unk1,unk2,Affiliation,DColor,Classification
15343EC6-1372-51C0-5940BF525F26C05E,2009-07-16 06:35:00,Explosive Hazard,IED Found/Cleared,20090716063541RPQ1083223065,(EXPLOSIVE HAZARD) IED FOUND/CLEARED RPT  (CWIED) 2/8 ECHO CO IVO  (ROUTE REDSKINS EAST): 0 INJ/DAM,"** DELAYED REPORTING **
REPORT DERIVED FROM USMC EOD REPORT


While RTB from previous IED (AFG-DELI-011-IED), EOD was notified from passing convoy (CAAT Blue) that there was disturbed earth and PIED on a culvert located on Redskins East. Unit on scene was able to have a southern cordonestablished and eyes on the northern and western sides of the road. EOD immediately responded.

Upon arrival, EOD made contact with OSC and was directed to where the disturbed earth was located. EOD established safe area and conducted 5/25's. EOD TL began to sweep wide west toward the edge of the canal and north to the opposite side of PIED for command wire, finding nothing at this time. EOD TL requested additional security dismounts to follow the safe path and establish security on the northern and eastern side of PIED site. EOD TL swept along a mud wall that provided cover and concealment from possible observation and cleared a path to the northern side of PIED where a 4' wall gave EOD TL a good vantage point to see PIED. EOD TL immediately noticed a bundle of copper colored command wire next to a 1.5' X 1.5' square hole in the center of the road, just east of the culvert. EOD TL also noticed a yellow jug that was placed under the culvert in the water. EOD TL quickly moved back and took cover, at the same time, EOD TL was notified by CAAT Blue that SCAN EAGLE observed a individual on the east side of the canal lying in the field. Right next to the field, where the individual was lying CAAT Blue said there was a motorcycle parked, and at the base of the canal were a pair of sandals. EOD TL requested permission to have security fire a warning shot at the canal berm in order to have the individual stand and be apprehended, because no interpreter was available at this time. Due to lack of communications EOD TL continued with exploitation of IED. Ground troops were dispatched to cross the canal and find the individual. EOD team moved back to IED site, and EOD TL moved forward with HAL kit and remotely separated the bundle of command wire. EOD TL then attempted to drag the site remotely with no results. At this time dismounted troops on the west side of canal said that the individual on the ground had crawled out and avoided detention. EOD TL at this time dropped all gear except gloves, helmet and eye pro, and climbed down into the residential irrigation canal and moved through the water to the culvert. During this time, EOD TL had complete cover and concealment from all directions. EOD TL then approached the culvert and proceeded to pull himself into the culvert to tie a line to the jug as there was no remote way of moving the jug without detection. TL returned to TM and EOD team pulled the jug from a distance of 75-100 meters while taking cover around the corner of local building. Remote move was successful and TL was able to clearly see that the jug had been separated from command wire. TL then utilized the MiniMD to cross the 4' wall and search for any other hazards. TL discovered (2) sets of wire heading strait into the ground and TL then put a 1 block TNT excavation charge to clear the site. Upon detonation, TL returned to site, and found a second jug of HME, and noticed that the cap wires leading to this jug were separated from previous excavation charge. TL placed a second excavation charge to break up the hard packed dirt. The jug was then remotely moved with a MRAP after several unsuccessful attempts were made remotely. Upon clearing the site of any additional explosive hazards, TL continued to sweep for an initiator when dismounted security on the ground brought to  L's attention a possible ant trail. TL confirmed ant trail discovering command wire running from the canal at water level to the
IED site. Dismounted troops on the west side of canal also discovered that the motorcycle they seized had multiple battery pack's that were constructed for the purposes of IED power sources. Also on the motorcycle was packing tape, electrical tape, white lamp cord, and a test light. With all the evidence collected, EOD believes that the individual in the field was in fact the trigger man for the IED and was unable to complete emplacement. EOD TL cleared the scene of any additional hazards and the unit on scene was briefed. HME was disposed of and EOD RTB. All individuals were wearing proper PPE and utilized ECM. (2) ~50lb jug of HME was disposed of by detonation on scene on the edge of the canal in order to mitigate damage to the local area.

EVENT CLOSED
",RC SOUTH,ENEMY,,2ND MEB / J3 ORSA,2/8 ECHO CO,CF,0,0,0,0,0,0,0,0,0,41RPQ1083223065,30.93581009,64.16014099,J3 ORSA,J3 ORSA,,,ENEMY,RED,SECRET
4A961C6C-1517-911C-C5617F27937348F3,2009-07-05 10:35:00,Explosive Hazard,IED Explosion,20090705103541RPQ1443097450,(EXPLOSIVE HAZARD) IED EXPLOSION RPT  (UNK) B CO 4 RIFLES : 0 INJ/DAM,"B CO 4 Rifles reported that while conducting a NFO patrol, they suffered an IED strike. No casualties or damage reported.  NFTR.  Event closed at 1524Z.

ISAF # 07-0429
",RC SOUTH,ENEMY,,TF East JOC Watch,B CO 4 Rifles,CF,0,0,0,0,0,0,0,0,0,41RPQ1443097450,31.60648346,64.20630646,TF East JOC Watch,J3 ORSA,,,ENEMY,RED,SECRET
067ED00B-C581-4D68-87AC-6EC9CFCB95C5,2009-07-07 15:46:00,Enemy Action,SAFIRE,42STA18700540002009-07#0655.01,(ENEMY ACTION) SAFIRE RPT  (Small Arms) OH-58 : 0 INJ/DAM,"OH-58 reported while conducting a routine task ISO ground troops, 5 x INS engaged OH-58 with SAF. FF continued on task. No casualties or damage reported.

***Event closed 2126D*",RC SOUTH,ENEMY,,A SIGACTS MANAGER,OH-58,CF,0,0,0,0,0,0,0,0,0,42STA1870054000,32.08729172,66.01963806,RC (S),J3 ORSA,,,ENEMY,RED,SECRET
90670582-1517-911C-C5BBE1F2ED91A7EA,2009-07-18 23:46:00,Explosive Hazard,IED Suspected,20090718234641SPR7570549192,(EXPLOSIVE HAZARD) IED SUSPECTED RPT   A CO 2 RIFLES : 0 INJ/DAM,FF reported while on NFO patrol they detected a strong double tone reading(waist high in compound wall).  FF marked and avoided.  NFTR.  Event closed.,RC SOUTH,ENEMY,,TF H / TF East JOC Watch,A CO 2 RIFLES,CF,0,0,0,0,0,0,0,0,0,41SPR7570549192,32.06532288,64.86136627,TF East JOC Watch,J3 ORSA,,,ENEMY,RED,SECRET
51511481-081D-D99B-4F88A8A224AB04B5,2009-07-02 05:20:00,Enemy Action,Direct Fire,20090702095042SVC9370034700,(ENEMY ACTION) DIRECT FIRE RPT  (Small Arms) B 1-32 CAV : 0 INJ/DAM,"""S-UNK

A-SAF

L-VC 93700 34700

U-B/1-32

T-0513Z

R-BATTLE X REPORTS AUDIO CONTACT OF SAF APPROX 1K SOUTH OF COP BAUGUESS.  CONTINUING TO MONITOR ATT.

EVENT OPENED: 02 0525Z""
",RC EAST,ENEMY,,TF Spartan SIGACTS Manager,B 1-32 CAV,CF,0,0,0,0,0,0,0,0,0,42SVC9370034700,33.75235367,68.93197632,TF Spartan SIGACTS Manager,J3 ORSA,,,ENEMY,RED,SECRET
4750A5FF-D6B8-40AD-8E69-626593AED55A,2009-07-05 17:25:00,Enemy Action,SAFIRE,41RPQ00540812802009-07#0459.01,(ENEMY ACTION) SAFIRE RPT  (Small Arms) TF TALON : 0 INJ/DAM,"At 052155D*, TF TALON reported while conducting a routine task, 5 x INS engaged DO-59 with SAF. FF continued on task. 

UPDATE 0316D* 
No battle damage to A/C. NFTR. No casualties or damage reported.

***Event closed 0316D*",RC SOUTH,ENEMY,,A SIGACTS MANAGER,TF TALON,CF,0,0,0,0,0,0,0,0,0,41RPQ0054081280,31.46191406,64.05825806,RC (S),J3 ORSA,,,ENEMY,RED,SECRET
62A931A0-1517-911C-C553D45CE2405C21,2009-07-09 19:35:00,Explosive Hazard,IED Explosion,20090709193541SNR0614363707,(EXPLOSIVE HAZARD) IED EXPLOSION RPT  (VOIED) TF THOR : 0 INJ/DAM,"RC South reported a VOIED(PP) Strike: 
FF reported that while conducting a RCP they suffered an VOIED(PP) Strike.  FF cordoned area.  BDA: 1x RG-31 MRAP damaged.  No casualties reported.  NFI att.

ISAF # 07-0844",RC WEST,ENEMY,,TF East JOC Watch,TF Thor,CF,0,0,0,0,0,0,0,0,0,41SNR0614363707,32.20993042,63.06518555,TF East JOC Watch,J3 ORSA,,,ENEMY,RED,SECRET
73F486D8-1517-911C-C5F85F1035EAACE6,2009-07-13 11:30:00,Friendly Action,Cache Found/Cleared,20090713113042SUE9239815598,(FRIENDLY ACTION) CACHE FOUND/CLEARED RPT   TF WARRIOR : 0 INJ/DAM,"TF Warrior reported a LN turned in a weapons cache consisting of:

28x Mortar carts.
3x Hand Grenandes
29x AT Mine Fuzes
1z Projectile Fuze
8x RPG warheads

Event closed.
",RC EAST,FRIEND,,TF WARRIOR/TF East JOC Watch,TF WARRIOR,CF,0,0,0,0,0,0,0,0,0,42SUE9239815598,35.37791824,67.81537628,TF East JOC Watch,TF East JOC Watch,,,FRIEND,BLUE,SECRET
7ACD2001-1517-911C-C5B3C02B4EABF52D,2009-07-14 16:30:00,Explosive Hazard,Unexploded Ordnance,20090714163041SMS5475463626,(EXPLOSIVE HAZARD) UNEXPLODED ORDNANCE RPT   ANP : 0 INJ/DAM,"RC South reported for RC West a UXO find:
FF reported ANP found 1x 107mm rocket 500m north of the 13 Jul rocket site.  ANP brought the UXO to Camp Shouz.  No casualties or damage reported.  NFI att.",RC WEST,ENEMY,,ARSIC W / TF East JOC Watch,ANP,ANSF,0,0,0,0,0,0,0,0,0,41SMS5475463626,33.11035919,62.51504898,TF East JOC Watch,J3 ORSA,,,ENEMY,RED,SECRET
67C58BA6-B2E6-4297-BC37-5F731E1D189D,2009-07-16 15:15:00,Non-Combat Event,Accident,41SMR95830672902009-07#1474,(NON-COMBAT EVENT) ACCIDENT RPT   2/3 USMC : 0 INJ/DAM,"2/3 USMC conducted a framework patrol. FF suffered a vehicle roll over. FF attempting to recover. No LNs or INS were involved in this incident. This incident was not the result of an engagement. 

BDA: 1 x MRAP damaged",RC WEST,NEUTRAL,,A SIGACTS MANAGER,2/3 USMC,CF,0,0,0,0,0,0,0,0,0,41SMR9583067290,32.24226379,62.95573425,RC (W),A SIGACTS MANAGER,,,NEUTRAL,GREEN,SECRET
